,data,solicitacoes_totais
0,2021-01-01,35
1,2021-01-02,26
2,2021-01-03,33
3,2021-01-04,39
4,2021-01-05,40
5,2021-01-06,44
6,2021-01-07,44
7,2021-01-08,32
8,2021-01-09,37
9,2021-01-10,37
10,2021-01-11,44
11,2021-01-12,44
12,2021-01-13,36
13,2021-01-14,37
14,2021-01-15,36
15,2021-01-16,43
16,2021-01-17,43
17,2021-01-18,47
18,2021-01-19,30
19,2021-01-20,37
20,2021-01-21,42
21,2021-01-22,40
22,2021-01-23,43
23,2021-01-24,31
24,2021-01-25,49
25,2021-01-26,31
26,2021-01-27,34
27,2021-01-28,32
28,2021-01-29,32
29,2021-01-30,25
30,2021-01-31,32
31,2021-02-01,28
32,2021-02-02,42
33,2021-02-03,43
34,2021-02-04,28
35,2021-02-05,35
36,2021-02-06,44
37,2021-02-07,48
38,2021-02-08,42
39,2021-02-09,37
40,2021-02-10,38
41,2021-02-11,38
42,2021-02-12,39
43,2021-02-13,46
44,2021-02-14,42
45,2021-02-15,43
46,2021-02-16,42
47,2021-02-17,42
48,2021-02-18,38
49,2021-02-19,39
50,2021-02-20,37
51,2021-02-21,38
52,2021-02-22,35
53,2021-02-23,30
54,2021-02-24,41
55,2021-02-25,44
56,2021-02-26,29
57,2021-02-27,35
58,2021-02-28,37
59,2021-03-01,39
60,2021-03-02,38
61,2021-03-03,42
62,2021-03-04,35
63,2021-03-05,40
64,2021-03-06,35
65,2021-03-07,46
66,2021-03-08,33
67,2021-03-09,32
68,2021-03-10,31
69,2021-03-11,40
70,2021-03-12,35
71,2021-03-13,37
72,2021-03-14,47
73,2021-03-15,40
74,2021-03-16,36
75,2021-03-17,41
76,2021-03-18,41
77,2021-03-19,36
78,2021-03-20,37
79,2021-03-21,46
80,2021-03-22,25
81,2021-03-23,28
82,2021-03-24,41
83,2021-03-25,35
84,2021-03-26,39
85,2021-03-27,37
86,2021-03-28,38
87,2021-03-29,37
88,2021-03-30,36
89,2021-03-31,38
90,2021-04-01,33
91,2021-04-02,41
92,2021-04-03,39
93,2021-04-04,29
94,2021-04-05,40
95,2021-04-06,35
96,2021-04-07,35
97,2021-04-08,36
98,2021-04-09,49
99,2021-04-10,40
100,2021-04-11,39
101,2021-04-12,40
102,2021-04-13,36
103,2021-04-14,44
104,2021-04-15,54
105,2021-04-16,36
106,2021-04-17,29
107,2021-04-18,37
108,2021-04-19,34
109,2021-04-20,42
110,2021-04-21,36
111,2021-04-22,40
112,2021-04-23,41
113,2021-04-24,20
114,2021-04-25,33
115,2021-04-26,42
116,2021-04-27,34
117,2021-04-28,36
118,2021-04-29,37
119,2021-04-30,32
120,2021-05-01,42
121,2021-05-02,43
122,2021-05-03,34
123,2021-05-04,38
124,2021-05-05,49
125,2021-05-06,48
126,2021-05-07,40
127,2021-05-08,42
128,2021-05-09,36
129,2021-05-10,43
130,2021-05-11,36
131,2021-05-12,40
132,2021-05-13,35
133,2021-05-14,42
134,2021-05-15,34
135,2021-05-16,36
136,2021-05-17,39
137,2021-05-18,44
138,2021-05-19,46
139,2021-05-20,29
140,2021-05-21,38
141,2021-05-22,25
142,2021-05-23,32
143,2021-05-24,27
144,2021-05-25,34
145,2021-05-26,39
146,2021-05-27,27
147,2021-05-28,41
148,2021-05-29,49
149,2021-05-30,32
150,2021-05-31,36
151,2021-06-01,41
152,2021-06-02,40
153,2021-06-03,39
154,2021-06-04,33
155,2021-06-05,39
156,2021-06-06,50
157,2021-06-07,40
158,2021-06-08,33
159,2021-06-09,41
160,2021-06-10,46
161,2021-06-11,40
162,2021-06-12,36
163,2021-06-13,45
164,2021-06-14,45
165,2021-06-15,50
166,2021-06-16,32
167,2021-06-17,36
168,2021-06-18,36
169,2021-06-19,33
170,2021-06-20,44
171,2021-06-21,37
172,2021-06-22,45
173,2021-06-23,49
174,2021-06-24,36
175,2021-06-25,40
176,2021-06-26,34
177,2021-06-27,38
178,2021-06-28,44
179,2021-06-29,36
180,2021-06-30,43
181,2021-07-01,41
182,2021-07-02,45
183,2021-07-03,26
184,2021-07-04,37
185,2021-07-05,39
186,2021-07-06,48
187,2021-07-07,37
188,2021-07-08,31
189,2021-07-09,20
190,2021-07-10,36
191,2021-07-11,27
192,2021-07-12,35
193,2021-07-13,42
194,2021-07-14,38
195,2021-07-15,43
196,2021-07-16,47
197,2021-07-17,36
198,2021-07-18,37
199,2021-07-19,29
200,2021-07-20,39
201,2021-07-21,41
202,2021-07-22,48
203,2021-07-23,40
204,2021-07-24,43
205,2021-07-25,32
206,2021-07-26,29
207,2021-07-27,33
208,2021-07-28,40
209,2021-07-29,30
210,2021-07-30,40
211,2021-07-31,44
212,2021-08-01,37
213,2021-08-02,34
214,2021-08-03,36
215,2021-08-04,43
216,2021-08-05,47
217,2021-08-06,41
218,2021-08-07,35
219,2021-08-08,32
220,2021-08-09,29
221,2021-08-10,29
222,2021-08-11,38
223,2021-08-12,39
224,2021-08-13,46
225,2021-08-14,29
226,2021-08-15,35
227,2021-08-16,22
228,2021-08-17,36
229,2021-08-18,42
230,2021-08-19,45
231,2021-08-20,34
232,2021-08-21,32
233,2021-08-22,47
234,2021-08-23,46
235,2021-08-24,36
236,2021-08-25,36
237,2021-08-26,50
238,2021-08-27,35
239,2021-08-28,38
240,2021-08-29,54
241,2021-08-30,40
242,2021-08-31,35
243,2021-09-01,44
244,2021-09-02,52
245,2021-09-03,38
246,2021-09-04,43
247,2021-09-05,42
248,2021-09-06,29
249,2021-09-07,30
250,2021-09-08,39
251,2021-09-09,31
252,2021-09-10,33
253,2021-09-11,44
254,2021-09-12,39
255,2021-09-13,33
256,2021-09-14,50
257,2021-09-15,42
258,2021-09-16,38
259,2021-09-17,50
260,2021-09-18,31
261,2021-09-19,47
262,2021-09-20,29
263,2021-09-21,34
264,2021-09-22,37
265,2021-09-23,34
266,2021-09-24,39
267,2021-09-25,46
268,2021-09-26,36
269,2021-09-27,29
270,2021-09-28,44
271,2021-09-29,48
272,2021-09-30,28
273,2021-10-01,21
274,2021-10-02,42
275,2021-10-03,34
276,2021-10-04,40
